address,name,size,type,gp_base,gp_offset,comment
0xFEBF6166,application_programming_reset_requested,1,uint8,0xFEBEB800,0xA966,One-request marker set to 0x5A after event 9
0xFEBF3B14,application_programming_handoff_value,4,uint32,0xFEBEB800,0x8314,Four-byte handoff payload (written as zero)
0xFEBF3B18,application_programming_readiness_latch,1,uint8,0xFEBEB800,0x8318,Set to 0x5A after readiness check
0xFEBF3B19,application_programming_reset_latch,1,uint8,0xFEBEB800,0x8319,Set to 0x5A after reset request succeeds
0xFEBEFC18,checkpoint_monitor_aggregate,160,Checkpoint_monitor_aggregate,0xFEBEB800,0x4418,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEFCB8,checkpoint_monitor_state_bank_0,240,Checkpoint_monitor_state_bank_0,0xFEBEB800,0x44B8,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEFDA8,checkpoint_monitor_state_bank_1,240,Checkpoint_monitor_state_bank_1,0xFEBEB800,0x45A8,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEFE98,checkpoint_monitor_state_bank_2,240,Checkpoint_monitor_state_bank_2,0xFEBEB800,0x4698,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF498,checkpoint_two_group_event_counters,56,Checkpoint_two_group_event_counters,0xFEBEB800,0x3C98,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF430,checkpoint_two_channel_s16_sentinel_state,8,Checkpoint_two_channel_s16_sentinel_state,0xFEBEB800,0x3C30,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF4D0,checkpoint_multi_channel_u16_state,56,Checkpoint_multi_channel_u16_state,0xFEBEB800,0x3CD0,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF428,checkpoint_three_phase_mode_latch,8,Checkpoint_three_phase_mode_latch,0xFEBEB800,0x3C28,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF438,checkpoint_u32_value_with_validity,8,Checkpoint_u32_value_with_validity,0xFEBEB800,0x3C38,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF508,checkpoint_runtime_condition_snapshot,40,Checkpoint_runtime_condition_snapshot,0xFEBEB800,0x3D08,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF420,checkpoint_event_counter_pair,8,Checkpoint_event_counter_pair,0xFEBEB800,0x3C20,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF440,checkpoint_two_channel_u16_state,8,Checkpoint_two_channel_u16_state,0xFEBEB800,0x3C40,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF530,checkpoint_dual_incident_snapshot,24,Checkpoint_dual_incident_snapshot,0xFEBEB800,0x3D30,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF448,checkpoint_counter_and_accumulator,8,Checkpoint_counter_and_accumulator,0xFEBEB800,0x3C48,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF548,checkpoint_three_entry_condition_history,48,Checkpoint_three_entry_condition_history,0xFEBEB800,0x3D48,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF578,checkpoint_operating_state_snapshot,24,Checkpoint_operating_state_snapshot,0xFEBEB800,0x3D78,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF5C0,checkpoint_event_log_control,16,Checkpoint_event_log_control,0xFEBEB800,0x3DC0,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEFF88,checkpoint_event_log_snapshot_bank_a,96,Checkpoint_event_log_snapshot_bank_a,0xFEBEB800,0x4788,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEFFE8,checkpoint_event_log_snapshot_bank_b,96,Checkpoint_event_log_snapshot_bank_b,0xFEBEB800,0x47E8,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBF0048,checkpoint_event_history_group_0,168,Checkpoint_event_history_group_0,0xFEBEB800,0x4848,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBF00F0,checkpoint_event_history_group_1,168,Checkpoint_event_history_group_1,0xFEBEB800,0x48F0,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBF0198,checkpoint_event_history_group_2,168,Checkpoint_event_history_group_2,0xFEBEB800,0x4998,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBEF450,checkpoint_persistent_countdown,8,Checkpoint_persistent_countdown,0xFEBEB800,0x3C50,enabled checkpoint slot from checkpoint_payload_map.csv
0xFEBF0240,checkpoint_configured_orphan_slot,72,Checkpoint_configured_orphan_slot,0xFEBEB800,0x4A40,enabled checkpoint slot from checkpoint_payload_map.csv
